Rank,Coach,School, Total Pay ,Conf,Scheduled School Pay,Contract Year Pandemic Reduction,Actual School Pay,Total Pandemic Reduction,School Buyout,,as_Rank,as_Coach,as_School,as_Total Pay,as_Conf,as_Scheduled School Pay,as_Contract Year Pandemic Reduction,as_Actual School Pay,as_Total Pandemic Reduction,School Buyout,,s_Rank,s_Coach,s_School,s_Total Pay,s_Conf,s_Scheduled School Pay,s_Contract Year Pandemic Reduction,s_Actual School Pay,s_Total Pandemic Reduction,School Buyout,,Team,Win-Loss Record,Win %,MOV,ATS +/-
,,,,,,,,,,,138,Coleman Hutzler,Texas,"$552,604 ",Big 12,"$600,000 ","$47,396 ","$552,604 ","$81,250 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,139,Brian Johnson,Florida,"$551,500 ",SEC,"$551,500 ",$0 ,"$551,500 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,140,Scott Cochran,Georgia,"$550,000 ",SEC,"$550,000 ",$0 ,"$550,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,141,Joe Bob Clements,Oklahoma State,"$550,000 ",Big 12,"$550,000 ",$0 ,"$550,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,142,Charles Huff,Alabama,"$550,000 ",SEC,"$550,000 ",$0 ,"$550,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,143,Karl Scott,Alabama,"$550,000 ",SEC,"$550,000 ",$0 ,"$550,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,144,Charlie Dickey,Oklahoma State,"$550,000 ",Big 12,"$550,000 ",$0 ,"$550,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,145,Brian Smith,Washington State,"$545,417 ",Pac-12,"$595,000 ","$49,583 ","$545,417 ","$49,583 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,146,Brian Hartline,Ohio State,"$540,833 ",Big Ten,"$550,000 ","$9,167 ","$540,833 ","$20,625 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,147,Odell Haggins,Florida State,"$540,375 ",ACC,"$550,000 ","$9,625 ","$540,375 ","$16,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,148,Shane Beamer,Oklahoma,"$540,000 ",Big 12,"$540,000 ",$0 ,"$540,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,149,Curtis Luper,Missouri,"$536,250 ",SEC,"$550,000 ","$13,750 ","$536,250 ","$13,750 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,150,Noel Mazzone,Arizona,"$535,000 ",Pac-12,"$600,000 ","$65,000 ","$535,000 ","$65,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,151,Gerad Parker,West Virginia,"$533,500 ",Big 12,"$551,000 ","$17,500 ","$533,500 ","$26,667 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,152,Terry Price,Texas A&M,"$533,333 ",SEC,"$533,333 ",$0 ,"$533,333 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,153,Darrin Chiaverini,Colorado,"$533,012 ",Pac-12,"$550,000 ","$17,188 ","$532,812 ","$27,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,154,Ron Burton,Michigan State,"$531,675 ",Big Ten,"$552,500 ","$20,825 ","$531,675 ","$35,700 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,155,Morgan Scalley,Utah,"$525,000 ",Pac-12,"$525,000 ",$0 ,"$525,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,156,Mike Reed,Clemson,"$520,250 ",ACC,"$545,000 ","$27,250 ","$517,750 ","$54,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,157,Alex Atkins,Florida State,"$520,000 ",ACC,"$520,000 ",$0 ,"$520,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,158,Chris Marve,Florida State,"$520,000 ",ACC,"$520,000 ",$0 ,"$520,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,159,Chris Thomsen,Florida State,"$520,000 ",ACC,"$520,000 ",$0 ,"$520,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,160,Danny Pearman,Clemson,"$519,750 ",ACC,"$545,000 ","$27,250 ","$517,750 ","$54,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,161,Ikaika Malloe,Washington,"$515,824 ",Pac-12,"$525,012 ","$9,188 ","$515,824 ","$16,813 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,162,T.J. Rushing,Texas A&M,"$514,961 ",SEC,"$513,461 ",$0 ,"$513,461 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,163,Dennis Simmons,Oklahoma,"$510,000 ",Big 12,"$510,000 ",$0 ,"$510,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,164,Al Washington,Ohio State,"$507,017 ",Big Ten,"$515,000 ","$8,583 ","$506,417 ","$8,583 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,165,Mark Hagen,Texas,"$506,979 ",Big 12,"$550,000 ","$43,021 ","$506,979 ","$73,750 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,166,Tracy Rocker,South Carolina,"$504,787 ",SEC,"$525,000 ","$20,213 ","$504,787 ","$40,425 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,167,Tommy Thigpen,North Carolina,"$504,167 ",ACC,"$550,000 ","$45,833 ","$504,167 ","$82,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,168,Seth Wallace,Iowa,"$504,000 ",Big Ten,"$560,000 ","$56,000 ","$504,000 ","$56,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,169,Steven Clinkscale,Kentucky,"$501,900 ",SEC,"$500,000 ",$0 ,"$500,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,170,Darin Hinshaw,Kentucky,"$500,900 ",SEC,"$500,000 ",$0 ,"$500,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,171,Brian Norwood,UCLA,"$500,000 ",Pac-12,"$500,000 ",$0 ,"$500,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,172,Larry Porter,Auburn,"$500,000 ",SEC,"$500,000 ",$0 ,"$500,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,173,Tony Hughes,Mississippi State,"$500,000 ",SEC,"$500,000 ",$0 ,"$500,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,174,Jack Bicknell Jr.,Auburn,"$500,000 ",SEC,"$500,000 ",$0 ,"$500,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,175,Randy Bates,Pittsburgh,"$497,282 ",ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,176,Greg Knox,Florida,"$496,500 ",SEC,"$496,500 ",$0 ,"$496,500 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,177,Tim Brewster,Florida,"$496,500 ",SEC,"$496,500 ",$0 ,"$496,500 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,178,Tommie Robinson,Texas A&M,"$495,770 ",SEC,"$493,270 ",$0 ,"$493,270 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,179,Mason Miller,Mississippi State,"$495,000 ",SEC,"$495,000 ",$0 ,"$495,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,180,Keynodo Hudson,Illinois,"$494,375 ",Big Ten,"$500,000 ","$5,625 ","$494,375 ","$33,750 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,181,Todd Bates,Clemson,"$491,750 ",ACC,"$515,000 ","$25,750 ","$489,250 ","$51,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,182,John Schlarman,Kentucky,"$490,000 ",SEC,"$490,000 ",$0 ,"$490,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,183,Mickey Conn,Clemson,"$489,250 ",ACC,"$515,000 ","$25,750 ","$489,250 ","$51,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,184,Randy Clements,Mississippi,"$487,500 ",SEC,"$500,000 ","$12,500 ","$487,500 ","$12,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,185,Marcus Johnson,Missouri,"$487,500 ",SEC,"$500,000 ","$12,500 ","$487,500 ","$12,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,186,Tyson Summers,Colorado,"$484,575 ",Pac-12,"$500,000 ","$15,625 ","$484,375 ","$25,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,187,Matt Lubick,Nebraska,"$483,333 ",Big Ten,"$500,000 ","$16,667 ","$483,333 ","$16,667 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,188,Greg Austin,Nebraska,"$483,333 ",Big Ten,"$500,000 ","$16,667 ","$483,333 ","$16,667 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,189,Derek Jones,Texas Tech,"$482,708 ",Big 12,"$500,000 ","$17,292 ","$482,708 ","$41,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,190,Ted Gilmore,Michigan State,"$479,583 ",Big Ten,"$500,000 ","$20,417 ","$479,583 ","$35,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,191,Lemanski Hall,Clemson,"$477,500 ",ACC,"$500,000 ","$25,000 ","$475,000 ","$50,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,192,David Turner,Florida,"$476,500 ",SEC,"$476,500 ",$0 ,"$476,500 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,193,Holmon Wiggins,Alabama,"$475,000 ",SEC,"$475,000 ",$0 ,"$475,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,194,George McDonald,NC State,"$473,791 ",ACC,"$492,250 ","$18,459 ","$473,791 ","$26,664 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,195,Roy Manning,Oklahoma,"$470,000 ",Big 12,"$470,000 ",$0 ,"$470,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,196,Stacy Searels,North Carolina,"$463,833 ",ACC,"$506,000 ","$42,167 ","$463,833 ","$75,900 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,197,Harlon Barnett,Michigan State,"$463,200 ",Big Ten,"$480,000 ","$16,800 ","$463,200 ","$28,800 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,198,Joe Jon Finley,Mississippi,"$463,125 ",SEC,"$475,000 ","$11,875 ","$463,125 ","$11,875 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,199,Torrian Gray,Florida,"$461,500 ",SEC,"$461,500 ",$0 ,"$461,500 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,200,Anthony Poindexter,Purdue,"$460,000 ",Big Ten,"$460,000 ",$0 ,"$460,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,201,Ross Els,Michigan State,"$458,375 ",Big Ten,"$475,000 ","$16,625 ","$458,375 ","$28,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,202,Jovan Dewitt,North Carolina,"$458,333 ",ACC,"$500,000 ","$41,667 ","$458,333 ","$75,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,203,Ron English,Florida,"$451,500 ",SEC,"$451,500 ",$0 ,"$451,500 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,204,Bob Shoop,Michigan,"$450,000 ",Big Ten,"$450,000 ",$0 ,"$450,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,205,Travis Williams,Auburn,"$450,000 ",SEC,"$450,000 ",$0 ,"$450,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,206,Michael Zordich,Michigan,"$450,000 ",Big Ten,"$450,000 ",$0 ,"$450,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,207,Chris Weinke,Tennessee,"$450,000 ",SEC,"$450,000 ",$0 ,"$450,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,208,Dana Bible,UCLA,"$450,000 ",Pac-12,"$450,000 ",$0 ,"$450,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,209,Cort Dennison,Louisville,"$450,000 ",ACC,"$450,000 ",$0 ,"$450,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,210,Ron Dugans,Florida State,"$450,000 ",ACC,"$450,000 ",$0 ,"$450,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,211,Sharrieff Shah,Utah,"$450,000 ",Pac-12,"$450,000 ",$0 ,"$450,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,212,Andrew Thacker,Georgia Tech,"$450,000 ",ACC,"$450,000 ",$0 ,"$450,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,213,Shawn Slocum,Arizona State,"$450,000 ",Pac-12,"$450,000 ",$0 ,"$450,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,214,Bill Busch,Louisiana State,"$446,625 ",SEC,"$450,000 ","$5,625 ","$444,375 ","$22,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,215,Jim Panagos,Rutgers,"$444,828 ",Big Ten,"$450,000 ","$5,172 ","$444,828 ","$5,172 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,216,Craig Stutzmann,Washington State,"$444,583 ",Pac-12,"$485,000 ","$40,417 ","$444,583 ","$40,417 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,217,Matt Barnes,Ohio State,"$442,500 ",Big Ten,"$450,000 ","$7,500 ","$442,500 ","$16,875 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,218,Kane Wommack,Indiana,"$442,308 ",Big Ten,"$460,000 ","$17,692 ","$442,308 ","$17,692 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,219,Tee Martin,Tennessee,"$441,250 ",SEC,"$450,000 ","$8,750 ","$441,250 ","$8,750 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,220,Derrick Nix,Mississippi,"$438,750 ",SEC,"$450,000 ","$11,250 ","$438,750 ","$11,250 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,221,David Gibbs,Missouri,"$438,750 ",SEC,"$450,000 ","$11,250 ","$438,750 ","$11,250 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,222,Calvin Thibodeaux,Oklahoma,"$435,000 ",Big 12,"$435,000 ",$0 ,"$435,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,223,Travis Fisher,Nebraska,"$435,000 ",Big Ten,"$450,000 ","$15,000 ","$435,000 ","$15,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,224,Jamar Cain,Oklahoma,"$435,000 ",Big 12,"$435,000 ",$0 ,"$435,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,225,Brian Odom,Oklahoma,"$435,000 ",Big 12,"$435,000 ",$0 ,"$435,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,226,Nick Sheridan,Indiana,"$432,692 ",Big Ten,"$450,000 ","$17,308 ","$432,692 ","$17,308 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,227,Jim Michalczik,Oregon State,"$431,550 ",Pac-12,"$450,000 ","$18,450 ","$431,550 ","$28,188 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,228,Frank Ponce,Louisville,"$430,000 ",ACC,"$430,000 ",$0 ,"$430,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,229,Scott Fountain,Arkansas,"$427,500 ",SEC,"$450,000 ","$22,500 ","$427,500 ","$41,250 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,230,Derrick LeBlanc,Arkansas,"$427,500 ",SEC,"$450,000 ","$22,500 ","$427,500 ","$41,250 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,231,Gunter Brewer,Louisville,"$425,000 ",ACC,"$425,000 ",$0 ,"$425,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,232,Jeff Phelps,Mississippi State,"$425,000 ",SEC,"$425,000 ",$0 ,"$425,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,233,Kodi Burns,Auburn,"$425,000 ",SEC,"$425,000 ",$0 ,"$425,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,234,James Coley,Texas A&M,"$425,000 ",SEC,"$425,000 ",$0 ,"$425,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,235,Brian Brohm,Purdue,"$422,750 ",Big Ten,"$445,000 ","$22,250 ","$422,750 ","$66,750 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,236,Greg McMahon,Louisiana State,"$421,938 ",SEC,"$425,000 ","$5,312 ","$419,688 ","$21,250 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,237,Marcus Woodson,Florida State,"$420,000 ",ACC,"$420,000 ",$0 ,"$420,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,238,David Johnson,Florida State,"$420,000 ",ACC,"$420,000 ",$0 ,"$420,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,239,JaMarcus Shephard,Purdue,"$416,150 ",Big Ten,"$435,000 ","$18,850 ","$416,150 ","$56,550 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,240,Jay Harbaugh,Michigan,"$415,000 ",Big Ten,"$415,000 ",$0 ,"$415,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,241,Sherrone Moore,Michigan,"$415,000 ",Big Ten,"$415,000 ",$0 ,"$415,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,242,Brian Jean-Mary,Michigan,"$415,000 ",Big Ten,"$415,000 ",$0 ,"$415,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,243,Erik Link,Missouri,"$414,375 ",SEC,"$425,000 ","$10,625 ","$414,375 ","$10,625 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,244,Darren Hiller,Indiana,"$413,500 ",Big Ten,"$430,040 ","$16,540 ","$413,500 ","$16,540 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,245,Matt Moore,West Virginia,"$411,833 ",Big 12,"$426,000 ","$14,167 ","$411,833 ","$21,250 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,246,Charlie Harbison,Missouri,"$404,625 ",SEC,"$415,000 ","$10,375 ","$404,625 ","$10,375 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,247,Lonnie Galloway,North Carolina,"$403,333 ",ACC,"$440,000 ","$36,667 ","$403,333 ","$66,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,248,Robert Gillespie,North Carolina,"$403,333 ",ACC,"$440,000 ","$36,667 ","$403,333 ","$66,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,249,John Lilly,North Carolina,"$403,333 ",ACC,"$440,000 ","$36,667 ","$403,333 ","$66,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,250,Joker Phillips,Maryland,"$402,750 ",Big Ten,"$402,750 ",$0 ,"$402,750 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,251,Guy Holliday,Utah,"$400,000 ",Pac-12,"$400,000 ",$0 ,"$400,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,252,Ben McDaniels,Michigan,"$400,000 ",Big Ten,"$400,000 ",$0 ,"$400,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,253,Todd Hartley,Georgia,"$400,000 ",SEC,"$400,000 ",$0 ,"$400,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,254,Don Pellum,UCLA,"$400,000 ",Pac-12,"$400,000 ",$0 ,"$400,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,255,Oscar Giles,Texas,"$400,000 ",Big 12,"$400,000 ",$0 ,"$400,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,256,Shaun Nua,Michigan,"$400,000 ",Big Ten,"$400,000 ",$0 ,"$400,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,257,Dave Patenaude,Georgia Tech,"$400,000 ",ACC,"$400,000 ",$0 ,"$400,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,258,Dan Hammerschmidt,Oklahoma State,"$400,000 ",Big 12,"$400,000 ",$0 ,"$400,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,259,Mickey Joseph,Louisiana State,"$397,250 ",SEC,"$400,000 ","$5,000 ","$395,000 ","$20,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,260,LeVar Woods,Iowa,"$396,000 ",Big Ten,"$440,000 ","$44,000 ","$396,000 ","$44,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,261,Tim Polasek,Iowa,"$396,000 ",Big Ten,"$440,000 ","$44,000 ","$396,000 ","$44,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,262,Conor Riley,Kansas State,"$394,896 ",Big 12,"$425,000 ","$30,104 ","$394,896 ","$42,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,263,Tim DeRuyter,California,"$393,334 ",Pac-12,"$400,000 ","$6,666 ","$393,334 ","$6,666 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,264,Keith Bhonapha,Washington,"$393,008 ",Pac-12,"$400,008 ","$7,000 ","$393,008 ","$12,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,265,Tyler Santucci,Texas A&M,"$390,866 ",SEC,"$390,866 ",$0 ,"$390,866 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,266,Bush Hamdan,Missouri,"$390,000 ",SEC,"$400,000 ","$10,000 ","$390,000 ","$10,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,267,Stu Holt,Louisville,"$390,000 ",ACC,"$390,000 ",$0 ,"$390,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,268,Matt Brock,Mississippi State,"$390,000 ",SEC,"$390,000 ",$0 ,"$390,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,269,Terrell Buckley,Mississippi,"$390,000 ",SEC,"$400,000 ","$10,000 ","$390,000 ","$10,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,270,Steve Spurrier Jr.,Mississippi State,"$390,000 ",SEC,"$390,000 ",$0 ,"$390,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,271,Deke Adams,Mississippi,"$390,000 ",SEC,"$400,000 ","$10,000 ","$390,000 ","$10,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,272,Greg Brown,Purdue,"$389,500 ",Big Ten,"$410,000 ","$20,500 ","$389,500 ","$61,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,273,Mark Tommerdahl,Texas Tech,"$388,333 ",Big 12,"$400,000 ","$13,167 ","$386,833 ","$31,600 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,274,Chad Scott,West Virginia,"$387,667 ",Big 12,"$401,000 ","$13,333 ","$387,667 ","$20,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,275,Chris Wilson,Colorado,"$387,500 ",Pac-12,"$400,000 ","$12,500 ","$387,500 ","$20,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,276,Ryan Held,Nebraska,"$386,667 ",Big Ten,"$400,000 ","$13,333 ","$386,667 ","$13,333 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,277,Sean Beckton,Nebraska,"$386,667 ",Big Ten,"$400,000 ","$13,333 ","$386,667 ","$13,333 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,278,Grant Heard,Indiana,"$384,615 ",Big Ten,"$400,000 ","$15,385 ","$384,615 ","$15,385 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,279,Kelvin Bell,Iowa,"$382,500 ",Big Ten,"$425,000 ","$42,500 ","$382,500 ","$42,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,280,Chris Haering,Wisconsin,"$382,500 ",Big Ten,"$450,000 ","$67,500 ","$382,500 ","$78,750 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,281,Justin Stepp,Arkansas,"$380,000 ",SEC,"$400,000 ","$20,000 ","$380,000 ","$40,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,282,John Reagan,Maryland,"$377,750 ",Big Ten,"$377,750 ",$0 ,"$377,750 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,283,Courtney Hawkins,Michigan State,"$375,712 ",Big Ten,"$387,000 ","$11,288 ","$375,712 ","$19,350 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,284,Jason Washington,Mississippi State,"$375,000 ",SEC,"$375,000 ",$0 ,"$375,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,285,Dave Christensen,Arizona State,"$375,000 ",Pac-12,"$375,000 ",$0 ,"$375,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,286,Mark Ivey,Louisville,"$375,000 ",ACC,"$375,000 ",$0 ,"$375,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,287,Al Pogue,Auburn,"$375,000 ",SEC,"$375,000 ",$0 ,"$375,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,288,Eric Mele,Mississippi State,"$375,000 ",SEC,"$375,000 ",$0 ,"$375,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,289,David Nichol,Mississippi State,"$375,000 ",SEC,"$375,000 ",$0 ,"$375,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,290,Darcel McBath,Mississippi State,"$375,000 ",SEC,"$375,000 ",$0 ,"$375,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,291,Bob Ligashesky,Illinois,"$374,300 ",Big Ten,"$380,000 ","$5,700 ","$374,300 ","$34,200 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,292,Bob McClain,Illinois,"$374,300 ",Big Ten,"$380,000 ","$5,700 ","$374,300 ","$34,200 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,293,Bobby Bentley,South Carolina,"$371,767 ",SEC,"$400,000 ","$28,233 ","$371,767 ","$28,233 ",—,,,,,,,,,,,,,,,,,
