Rank,Coach,School, Total Pay ,Conf,Scheduled School Pay,Contract Year Pandemic Reduction,Actual School Pay,Total Pandemic Reduction,School Buyout,,as_Rank,as_Coach,as_School,as_Total Pay,as_Conf,as_Scheduled School Pay,as_Contract Year Pandemic Reduction,as_Actual School Pay,as_Total Pandemic Reduction,School Buyout,,s_Rank,s_Coach,s_School,s_Total Pay,s_Conf,s_Scheduled School Pay,s_Contract Year Pandemic Reduction,s_Actual School Pay,s_Total Pandemic Reduction,School Buyout,,Team,Win-Loss Record,Win %,MOV,ATS +/-
,,,,,,,,,,,531,Tim Drevno,Southern California,—,Pac-12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,532,Kenechi Udeze,Vanderbilt,—,SEC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,533,Kurt Anderson,Northwestern,—,Big Ten,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,534,Tim Horton,Vanderbilt,—,SEC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,535,Tom Rees,Notre Dame,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,536,Kirk Benedict,Duke,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,537,Zac Roper,Duke,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,538,Jeffrey Faris,Duke,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,539,Bryan Applewhite,Texas Christian,—,Big 12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,540,Matt Thurin,Boston College,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,541,Doug Meacham,Texas Christian,—,Big 12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,542,Tem Lukabu,Boston College,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543,Craig Naivar,Southern California,—,Pac-12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,544,Pete Alamar,Stanford,—,Pac-12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,545,Dan Sharp,Texas Christian,—,Big 12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,546,Mark Whipple,Pittsburgh,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,547,Matt Powledge,Baylor,—,Big 12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,548,Mike Mickens,Notre Dame,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,549,Nicholas Tabacca,Wake Forest,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,550,Jeff Genyk,Northwestern,—,Big Ten,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,551,Cory Sanders,Pittsburgh,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,552,Frank Cignetti Jr.,Boston College,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,553,Vic So'oto,Southern California,—,Pac-12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,554,Paul Williams,Wake Forest,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,555,Ryan Smith,Virginia Tech,—,ACC,"$175,000 ",—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,556,Dave Borbely,Pittsburgh,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,557,Jorge Munoz,Baylor,—,Big 12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,558,Mike Lynch,Syracuse,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,559,Mike Bajakian,Northwestern,—,Big Ten,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,560,Bob Heffner,Northwestern,—,Big Ten,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,561,Rich Gunnell,Boston College,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,562,Matt MacPherson,Northwestern,—,Big Ten,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,563,Ron Gould,Stanford,—,Pac-12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,564,Tim Banks,Penn State,—,Big Ten,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,565,Aaron Henry,Vanderbilt,—,SEC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,566,Jovan Haye,Vanderbilt,—,SEC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,567,Wayne Lineburg,Wake Forest,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,568,Taylor Stubblefield,Penn State,—,Big Ten,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,569,Chip West,Syracuse,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,570,Justin Lustig,Syracuse,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,571,Tyler Bowen,Penn State,—,Big Ten,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,572,Graham Harrell,Southern California,—,Pac-12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,573,Vinson Reynolds,Syracuse,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,574,Ephraim Banda,Miami,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,575,Joey McGuire,Baylor,—,Big 12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,576,Mike Cavanaugh,Syracuse,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,577,Phil Trautwein,Penn State,—,Big Ten,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,578,Mike Elston,Notre Dame,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,579,Shawn Bell,Baylor,—,Big 12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,580,Sean Snyder,Southern California,—,Pac-12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,Dennis Springer,Northwestern,—,Big Ten,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,582,Bobby Kennedy,Stanford,—,Pac-12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,583,Sterlin Gilbert,Syracuse,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,584,Chad Glasgow,Texas Christian,—,Big 12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,585,Tim McGarigle,Northwestern,—,Big Ten,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,586,John Hunter,Wake Forest,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,587,Kevin Higgins,Wake Forest,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,588,Lyle Hemphill,Wake Forest,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,589,Diron Reynolds,Stanford,—,Pac-12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,590,Andre Powell,Pittsburgh,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,591,Dennis Johnson,Baylor,—,Big 12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,592,Greg Jones,Wake Forest,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,593,Clark Lea,Notre Dame,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,594,Paul Gonzales,Texas Christian,—,Big 12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,595,Jeremy Modkins,Texas Christian,—,Big 12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,596,Morgan Turner,Stanford,—,Pac-12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,597,Brian Stewart,Baylor,—,Big 12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,598,Rob Likens,Miami,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,599,Trooper Taylor,Duke,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,600,Charlie Partridge,Pittsburgh,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,601,Reno Ferri,Syracuse,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,602,Todd Stroud,Miami,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,603,Ben Albert,Duke,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,604,Terry Joseph,Notre Dame,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,605,Lance Anderson,Stanford,—,Pac-12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,606,Ja'Juan Seider,Penn State,—,Big Ten,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,607,Justin Hamilton,Virginia Tech,—,ACC,"$600,000 ",—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,608,Steve Shimko,Boston College,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,609,Ryan Crawford,Wake Forest,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,610,Adam Lechtenberg,Virginia Tech,—,ACC,"$200,000 ",—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,611,DelVaughn Alexander,Notre Dame,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,612,Tracy Claeys,Virginia Tech,—,ACC,"$500,000 ",—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,613,John McNulty,Notre Dame,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,614,Re'quan Boyette,Duke,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,615,Jonathan Patke,Miami,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,616,Lanier Goethie,Duke,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,617,Jeff Quinn,Notre Dame,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,618,Louis Ayeni,Northwestern,—,Big Ten,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,619,James Shibest,Virginia Tech,—,ACC,"$475,000 ",—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,620,Keary Colbert,Southern California,—,Pac-12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,621,Jarrett Anderson,Texas Christian,—,Big 12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,622,Warren Ruggiero,Wake Forest,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,623,Terry Smith,Penn State,—,Big Ten,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,624,Zarnell Fitch,Texas Christian,—,Big 12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,625,Nick Monroe,Syracuse,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,626,Kirk Ciarrocca,Penn State,—,Big Ten,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,627,Matt Guerrieri,Duke,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,628,Eric Sanders,Stanford,—,Pac-12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,629,Tavita Pritchard,Stanford,—,Pac-12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,630,Aazaar Abdul-Rahim,Boston College,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,631,Marty Long,Northwestern,—,Big Ten,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,632,Archie Collins,Pittsburgh,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,633,Marc Mattioli,Vanderbilt,—,SEC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,634,Mike Rumph,Miami,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,635,Matt Applebaum,Boston College,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,636,Eric Hickson,Miami,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,637,Rhett Lashlee,Miami,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,638,Duane Akina,Stanford,—,Pac-12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,639,Donte Williams,Southern California,—,Pac-12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,640,Greg Frey,Duke,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,641,Tony Ball,Vanderbilt,—,SEC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,642,Mike Jinks,Southern California,—,Pac-12,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,643,Sean Duggan,Boston College,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,644,Todd Fitch,Vanderbilt,—,SEC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,645,Joe Dailey,Boston College,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,646,Dave Cohen,Wake Forest,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,647,Chris Beatty,Pittsburgh,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,648,Mike Hankwitz,Northwestern,—,Big Ten,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,649,Rob Harley,Pittsburgh,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,650,Brian Polian,Notre Dame,—,ACC,—,—,—,—,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,651,Jafar Williams,Virginia Tech,—,ACC,"$280,000 ",—,—,—,—,,,,,,,,,,,,,,,,,
